Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
223,8/1/16 6:36,8/1/16 6:40,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24670,Subscriber,1989,1
446,8/1/16 6:36,8/1/16 6:44,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24484,Subscriber,1986,1
681,8/1/16 6:38,8/1/16 6:49,3210,Pershing Field,40.74267714,-74.05178863,3202,Newport PATH,40.7272235,-74.0337589,24515,Subscriber,1972,1
318,8/1/16 6:39,8/1/16 6:44,3281,Leonard Gordon Park,40.74590997,-74.05727148,3195,Sip Ave,40.73074263,-74.06378388,24712,Subscriber,1980,1
314,8/1/16 6:39,8/1/16 6:45,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24394,Subscriber,1987,1
169,8/1/16 6:40,8/1/16 6:43,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24445,Subscriber,1979,1
197,8/1/16 6:50,8/1/16 6:53,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24596,Subscriber,1983,1
167,8/1/16 6:50,8/1/16 6:53,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24666,Subscriber,1977,2
651,8/1/16 6:51,8/1/16 7:02,3192,Liberty Light Rail,40.7112423,-74.0557013,3183,Exchange Place,40.7162469,-74.0334588,24387,Customer,,0
174,8/1/16 6:51,8/1/16 6:54,3214,Essex Light Rail,40.7127742,-74.0364857,3276,Marin Light Rail,40.71458404,-74.04281706,24442,Subscriber,1981,1
1140,8/1/16 6:51,8/1/16 7:10,3198,Heights Elevator,40.74871595,-74.0404433,3183,Exchange Place,40.7162469,-74.0334588,24465,Subscriber,1975,1
90,8/1/16 6:52,8/1/16 6:53,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,24491,Subscriber,1979,1
1339,8/1/16 6:53,8/1/16 7:16,3271,Danforth Light Rail,40.69263997,-74.08801228,3183,Exchange Place,40.7162469,-74.0334588,24697,Subscriber,1996,1
110,8/1/16 6:56,8/1/16 6:58,3185,City Hall,40.7177325,-74.043845,3186,Grove St PATH,40.71958612,-74.04311746,24486,Subscriber,1982,2
357,8/1/16 6:58,8/1/16 7:04,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,24518,Subscriber,1985,2
301,8/1/16 6:59,8/1/16 7:04,3187,Warren St,40.7211236,-74.03805095,3186,Grove St PATH,40.71958612,-74.04311746,24541,Subscriber,,0
702,8/1/16 7:03,8/1/16 7:15,3192,Liberty Light Rail,40.7112423,-74.0557013,3185,City Hall,40.7177325,-74.043845,24617,Subscriber,1978,2
1110,8/1/16 7:03,8/1/16 7:22,3201,Dey St,40.737711,-74.066921,3202,Newport PATH,40.7272235,-74.0337589,24619,Subscriber,1979,1
146,8/1/16 7:04,8/1/16 7:06,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24562,Subscriber,1974,2
290,8/1/16 7:04,8/1/16 7:09,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24631,Subscriber,1971,1
268,8/1/16 7:05,8/1/16 7:10,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,24559,Subscriber,1985,2
422,8/1/16 7:05,8/1/16 7:12,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24724,Subscriber,1956,1
730,8/1/16 7:09,8/1/16 7:21,3267,Morris Canal,40.71241882,-74.03852552,3186,Grove St PATH,40.71958612,-74.04311746,24471,Subscriber,1976,1
221,8/1/16 7:10,8/1/16 7:14,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24589,Subscriber,1989,1
259,8/1/16 7:10,8/1/16 7:15,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,24518,Subscriber,1978,1
339,8/1/16 7:13,8/1/16 7:18,3203,Hamilton Park,40.72759597,-74.04424731,3202,Newport PATH,40.7272235,-74.0337589,24577,Subscriber,,0
706,8/1/16 7:13,8/1/16 7:25,3197,North St,40.752559,-74.044725,3195,Sip Ave,40.73074263,-74.06378388,24421,Subscriber,1987,1
1037,8/1/16 7:14,8/1/16 7:31,3281,Leonard Gordon Park,40.74590997,-74.05727148,3275,Columbus Drive,40.7183552,-74.03891444,24603,Subscriber,1984,1
297,8/1/16 7:16,8/1/16 7:21,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,24532,Subscriber,1976,1
486,8/1/16 7:17,8/1/16 7:25,3199,Newport Pkwy,40.7287448,-74.0321082,3183,Exchange Place,40.7162469,-74.0334588,24482,Subscriber,1991,1
125,8/1/16 7:18,8/1/16 7:20,3213,Van Vorst Park,40.71848892,-74.04772663,3185,City Hall,40.7177325,-74.043845,24407,Subscriber,1989,1
162,8/1/16 7:18,8/1/16 7:21,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24448,Subscriber,1976,1
288,8/1/16 7:22,8/1/16 7:27,3267,Morris Canal,40.71241882,-74.03852552,3183,Exchange Place,40.7162469,-74.0334588,24650,Subscriber,1984,2
318,8/1/16 7:24,8/1/16 7:30,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24686,Subscriber,1989,1
145,8/1/16 7:25,8/1/16 7:28,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24655,Subscriber,1984,1
250,8/1/16 7:28,8/1/16 7:32,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24455,Subscriber,1975,1
164,8/1/16 7:29,8/1/16 7:31,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,24526,Subscriber,1980,1
